Model,Test Accuracy,Trainable Parameters,Saved Model Size (MB),FLOPs (Training),FLOPs (Inference),Training Memory (MB)
MLP,0.8687,"235,146",2.72 MB,0.46M,0.23M,2.69
CNN,0.8796,"56,714",0.69 MB,2.00M,1.00M,0.65
